Player,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,FPts,FPts/G,Week
Saints,1,3,1,2,1,23,239,86,0,0,15,15,1
Football Team,1,8,1,2,0,17,270,57,0,0,14,14,1
Ravens,1,2,2,1,0,6,189,138,0,0,8,8,1
Patriots,1,1,0,3,0,11,191,87,0,0,7,7,1
Jets,1,3,2,0,0,27,312,98,0,0,7,7,1
Bills,1,3,1,1,0,17,215,52,0,0,7,7,1
Steelers,1,3,0,2,0,16,279,29,0,0,7,7,1
Chargers,1,3,1,1,0,13,193,122,0,0,7,7,1
Chiefs,1,4,0,1,0,20,253,118,0,0,6,6,1
Seahawks,1,2,1,1,0,25,450,72,0,0,6,6,1
Jaguars,1,1,0,2,0,20,363,88,0,0,5,5,1
Packers,1,2,0,1,0,34,259,134,0,0,4,4,1
Giants,1,2,1,0,0,26,229,141,0,0,4,4,1
Colts,1,4,0,0,0,27,173,91,0,0,4,4,1
49ers,1,2,0,1,0,24,230,180,0,0,4,4,1
Browns,1,2,1,0,0,38,284,107,0,0,4,4,1
Dolphins,1,2,1,0,0,21,155,217,0,0,4,4,1
Cardinals,1,3,0,0,0,20,259,123,0,0,3,3,1
Falcons,1,3,0,0,0,38,322,84,0,0,3,3,1
Eagles,1,3,0,0,0,27,178,80,0,0,3,3,1
Bears,1,1,0,1,0,23,297,138,0,0,3,3,1
Rams,1,3,0,0,0,17,266,136,0,0,3,3,1
Cowboys,1,1,0,1,0,20,275,153,0,0,3,3,1
Bengals,1,2,0,0,0,16,208,155,0,0,2,2,1
Titans,1,0,1,0,0,14,216,107,0,0,2,2,1
Vikings,1,0,0,0,0,43,364,158,1,0,2,2,1
Texans,1,1,0,0,0,34,211,166,0,0,1,1,1
Raiders,1,1,0,0,0,30,270,128,0,0,1,1,1
Buccaneers,1,1,0,0,0,34,198,82,0,0,1,1,1
Broncos,1,1,0,0,0,16,249,130,0,0,1,1,1
Lions,1,1,0,0,0,27,242,149,0,0,1,1,1
Panthers,1,0,0,0,0,34,239,133,0,0,0,0,1
Ravens,1,4,1,1,1,16,275,51,0,0,14,14,2
Steelers,1,7,1,1,0,21,276,104,1,0,13,13,2
Buccaneers,1,5,2,2,0,17,367,87,0,0,13,13,2
Packers,1,4,0,1,1,21,244,89,0,0,12,12,2
Colts,1,3,0,3,0,11,113,80,1,0,11,11,2
Patriots,1,2,0,1,1,35,288,154,0,0,10,10,2
Cardinals,1,4,2,0,0,15,223,117,0,0,8,8,2
Giants,1,4,0,2,0,17,190,135,0,0,8,8,2
Bears,1,4,1,1,0,13,241,75,0,0,8,8,2
Falcons,1,1,3,0,0,40,450,125,0,0,7,7,2
Rams,1,0,1,2,0,19,242,121,0,0,6,6,2
Titans,1,2,0,2,0,30,339,165,0,0,6,6,2
Saints,1,3,1,0,0,34,284,116,0,0,5,5,2
Jets,1,3,0,1,0,31,202,182,0,0,5,5,2
Browns,1,3,1,0,0,30,316,68,0,0,5,5,2
Broncos,1,1,1,1,0,26,311,109,0,0,5,5,2
Football Team,1,3,0,1,0,30,286,160,0,0,5,5,2
Texans,1,4,0,0,0,33,204,230,0,0,4,4,2
Panthers,1,0,1,1,0,31,217,122,0,0,4,4,2
Chiefs,1,2,0,1,0,20,311,183,0,0,4,4,2
