Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD,FPts,FPts/G,Week
Josh Jacobs,LV,1,25,93,3,6,4,46,0,31.9,31.9,1
Christian McCaffrey,CAR,1,23,96,2,4,3,38,0,25.4,25.4,1
Ezekiel Elliott,DAL,1,22,96,1,4,3,31,1,24.7,24.7,1
Malcolm Brown,LAR,1,18,79,2,4,3,31,0,23.0,23.0,1
Raheem Mostert,SF,1,15,56,0,5,4,95,1,21.1,21.1,1
Clyde Edwards-Helaire,KC,1,25,138,1,2,0,0,0,19.8,19.8,1
Nyheim Hines,IND,1,7,28,1,8,8,45,1,19.3,19.3,1
Alvin Kamara,NO,1,12,16,1,8,5,51,1,18.7,18.7,1
Chris Carson,SEA,1,6,21,0,6,6,45,2,18.6,18.6,1
David Johnson,HOU,1,11,77,1,4,3,32,0,16.9,16.9,1
Dalvin Cook,MIN,1,12,50,2,2,1,-2,0,16.8,16.8,1
Peyton Barber,WAS,1,17,29,2,0,0,0,0,14.9,14.9,1
Melvin Gordon,DEN,1,15,78,1,3,3,8,0,14.6,14.6,1
J.K. Dobbins,BAL,1,7,22,2,0,0,0,0,14.2,14.2,1
Aaron Jones,GB,1,16,66,1,6,4,10,0,13.6,13.6,1
Derrick Henry,TEN,1,31,116,0,3,3,15,0,13.1,13.1,1
Kenyan Drake,ARI,1,16,60,1,2,2,5,0,12.5,12.5,1
Joshua Kelley,LAC,1,12,60,1,0,0,0,0,12.0,12.0,1
Todd Gurley,ATL,1,14,56,1,5,2,1,0,11.7,11.7,1
Adrian Peterson,DET,1,14,93,0,3,3,21,0,11.4,11.4,1
Benny Snell,PIT,1,19,113,0,1,0,0,0,11.3,11.3,1
Chase Edmonds,ARI,1,6,26,0,5,3,19,1,10.5,10.5,1
Jerick McKinnon,SF,1,3,24,0,5,3,20,1,10.4,10.4,1
Sony Michel,NE,1,10,37,1,0,0,0,0,9.7,9.7,1
James Robinson,JAC,1,16,62,0,1,1,28,0,9.0,9.0,1
Jonathan Taylor,IND,1,9,22,0,6,6,67,0,8.9,8.9,1
Austin Ekeler,LAC,1,19,84,0,1,1,3,0,8.7,8.7,1
Zack Moss,BUF,1,9,11,0,4,3,16,1,8.7,8.7,1
Carlos Hyde,SEA,1,7,23,1,0,0,0,0,8.3,8.3,1
D'Andre Swift,DET,1,3,8,1,5,3,15,0,8.3,8.3,1
Josh Adams,NYJ,1,2,8,1,2,2,14,0,8.2,8.2,1
Ronald Jones,TB,1,17,66,0,3,2,16,0,8.2,8.2,1
Kareem Hunt,CLE,1,13,72,0,6,4,9,0,8.1,8.1,1
Alexander Mattison,MIN,1,6,50,0,4,4,30,0,8.0,8.0,1
David Montgomery,CHI,1,13,64,0,3,1,10,0,7.4,7.4,1
Jordan Howard,MIA,1,8,7,1,0,0,0,0,6.7,6.7,1
Saquon Barkley,NYG,1,15,6,0,9,6,60,0,6.6,6.6,1
Myles Gaskin,MIA,1,9,40,0,4,4,26,0,6.6,6.6,1
Marlon Mack,IND,1,4,26,0,3,3,30,0,5.6,5.6,1
Boston Scott,PHI,1,9,35,0,2,2,19,0,5.4,5.4,1
Devin Singletary,BUF,1,9,30,0,7,5,23,0,5.3,5.3,1
Devontae Booker,LV,1,4,29,0,3,3,23,0,5.2,5.2,1
James White,NE,1,5,22,0,3,3,30,0,5.2,5.2,1
Joe Mixon,CIN,1,19,69,0,2,1,2,0,5.1,5.1,1
Kyle Juszczyk,SF,1,1,7,0,2,1,41,0,4.8,4.8,1
Latavius Murray,NO,1,15,48,0,1,0,0,0,4.8,4.8,1
Tarik Cohen,CHI,1,7,41,0,2,2,6,0,4.7,4.7,1
Le'Veon Bell,NYJ,1,6,14,0,2,2,32,0,4.6,4.6,1
Nick Chubb,CLE,1,10,60,0,1,1,6,0,4.6,4.6,1
Tyler Ervin,GB,1,3,38,0,1,1,6,0,4.4,4.4,1
Antonio Gibson,WAS,1,9,36,0,2,2,8,0,4.4,4.4,1
Cam Akers,LAR,1,14,39,0,1,1,4,0,4.3,4.3,1
Jamaal Williams,GB,1,7,21,0,4,4,21,0,4.2,4.2,1
Phillip Lindsay,DEN,1,7,24,0,1,1,11,0,3.5,3.5,1
Rex Burkhead,NE,1,7,32,0,0,0,0,0,3.2,3.2,1
Tony Pollard,DAL,1,2,10,0,3,2,22,0,3.2,3.2,1
J.J. Taylor,NE,1,4,28,0,1,1,4,0,3.2,3.2,1
Darrel Williams,KC,1,7,23,0,2,2,7,0,3.0,3.0,1
Mark Ingram,BAL,1,10,29,0,0,0,0,0,2.9,2.9,1
Giovani Bernard,CIN,1,1,7,0,5,4,21,0,2.8,2.8,1
Tevin Coleman,SF,1,4,18,0,2,1,6,0,2.4,2.4,1
Frank Gore,NYJ,1,6,24,0,0,0,0,0,2.4,2.4,1
Matt Breida,MIA,1,5,22,0,0,0,0,0,2.2,2.2,1
Corey Clement,PHI,1,6,19,0,2,2,2,0,2.1,2.1,1
Brian Hill,ATL,1,3,12,0,2,2,8,0,2.0,2.0,1
Leonard Fournette,TB,1,5,5,0,1,1,14,0,1.9,1.9,1
James Conner,PIT,1,6,9,0,4,2,8,0,1.7,1.7,1
Gus Edwards,BAL,1,4,17,0,0,0,0,0,1.7,1.7,1
Jalen Richard,LV,1,0,0,0,1,1,15,0,1.5,1.5,1
AJ Dillon,GB,1,2,14,0,0,0,0,0,1.4,1.4,1
Wayne Gallman,NYG,1,0,0,0,1,1,14,0,1.4,1.4,1
Duke Johnson,HOU,1,5,14,0,1,0,0,0,1.4,1.4,1
Kerryon Johnson,DET,1,7,14,0,0,0,0,0,1.4,1.4,1
Royce Freeman,DEN,1,1,0,0,1,1,12,0,1.2,1.2,1
Patrick Laird,MIA,1,0,0,0,2,2,9,0,0.9,0.9,1
Darrell Henderson,LAR,1,3,6,0,0,0,0,0,0.6,0.6,1
Ito Smith,ATL,1,1,4,0,3,3,2,0,0.6,0.6,1
Chris Thompson,JAC,1,0,0,0,2,2,6,0,0.6,0.6,1
Khari Blasingame,TEN,1,0,0,0,1,1,5,0,0.5,0.5,1
D'Ernest Johnson,CLE,1,1,5,0,0,0,0,0,0.5,0.5,1
Justin Jackson,LAC,1,2,4,0,0,0,0,0,0.4,0.4,1
Travis Homer,SEA,1,3,-1,0,2,2,4,0,0.3,0.3,1
Jaylen Samuels,PIT,1,1,2,0,1,1,1,0,0.3,0.3,1
LeSean McCoy,TB,1,0,0,0,1,1,2,0,0.2,0.2,1
Bruce Miller,JAC,1,0,0,0,1,1,2,0,0.2,0.2,1
Anthony Sherman,KC,1,1,2,0,0,0,0,0,0.2,0.2,1
Alex Armah,CAR,1,2,1,0,0,0,0,0,0.1,0.1,1
Jason Huntley,PHI,1,1,1,0,0,0,0,0,0.1,0.1,1
Dion Lewis,NYG,1,1,1,0,1,0,0,0,0.1,0.1,1
Jeremy McNichols,TEN,1,0,0,0,1,0,0,0,0.0,0.0,1
J.D. McKissic,WAS,1,3,-2,0,5,1,1,0,-0.1,-0.1,1
Ty Montgomery,NO,1,1,-4,0,0,0,0,0,-0.4,-0.4,1
Patrick Ricard,BAL,1,1,-5,0,1,1,9,0,-1.6,-1.6,1
Aaron Jones,GB,1,18,168,2,8,4,68,1,41.6,41.6,2
Alvin Kamara,NO,1,13,79,2,9,9,95,0,29.4,29.4,2
Nick Chubb,CLE,1,22,124,2,1,1,9,0,25.3,25.3,2
Leonard Fournette,TB,1,12,103,2,5,4,13,0,23.6,23.6,2
Kareem Hunt,CLE,1,10,86,1,2,2,15,1,22.1,22.1,2
Christian McCaffrey,CAR,1,18,59,2,5,4,29,0,20.8,20.8,2
David Montgomery,CHI,1,16,82,0,3,3,45,1,18.7,18.7,2
James Conner,PIT,1,16,106,1,2,2,15,0,18.1,18.1,2
Darrell Henderson,LAR,1,12,81,1,3,2,40,0,18.1,18.1,2
James Robinson,JAC,1,16,102,1,4,3,18,0,18.0,18.0,2
Miles Sanders,PHI,1,20,95,1,7,3,36,0,17.1,17.1,2
Jonathan Taylor,IND,1,26,101,1,2,2,9,0,17.0,17.0,2
Chris Carson,SEA,1,17,72,0,3,3,36,1,16.8,16.8,2
Raheem Mostert,SF,1,8,92,1,2,2,15,0,16.7,16.7,2
Ezekiel Elliott,DAL,1,22,89,1,7,6,33,0,16.2,16.2,2
Austin Ekeler,LAC,1,16,93,0,4,4,55,0,14.8,14.8,2
Melvin Gordon,DEN,1,19,70,0,3,2,14,1,14.4,14.4,2
Mark Ingram,BAL,1,9,55,1,3,2,22,0,13.7,13.7,2
Jerick McKinnon,SF,1,3,77,1,1,0,0,0,13.7,13.7,2
Dalvin Cook,MIN,1,14,63,1,2,2,8,0,13.1,13.1,2
Dion Lewis,NYG,1,10,20,1,5,4,36,0,11.6,11.6,2
Joshua Kelley,LAC,1,23,64,0,3,2,49,0,11.3,11.3,2
Antonio Gibson,WAS,1,13,55,1,2,1,-3,0,11.2,11.2,2
Josh Jacobs,LV,1,27,88,0,3,3,17,0,10.5,10.5,2
Kenyan Drake,ARI,1,20,86,0,2,2,9,0,9.5,9.5,2
Kerryon Johnson,DET,1,8,32,1,1,0,0,0,9.2,9.2,2
Ronald Jones,TB,1,7,23,1,2,2,4,0,8.7,8.7,2
Chris Thompson,JAC,1,2,7,0,4,3,20,1,8.7,8.7,2
Joe Mixon,CIN,1,16,46,0,4,4,40,0,8.6,8.6,2
Jalen Richard,LV,1,2,26,1,0,0,0,0,8.6,8.6,2
Derrick Henry,TEN,1,25,84,0,2,0,0,0,8.4,8.4,2
Myles Gaskin,MIA,1,7,46,0,7,6,36,0,8.2,8.2,2
Devin Singletary,BUF,1,10,56,0,3,2,20,0,7.6,7.6,2
Mike Davis,CAR,1,1,1,0,8,8,74,0,7.5,7.5,2
