Player,Team,G,Target,Rec,Yard,TD,FPts,FPts/G,Week
Mark Andrews,BAL,1,6,5,58,2,17.8,17.8,1
Dallas Goedert,PHI,1,9,8,101,1,16.1,16.1,1
Noah Fant,DEN,1,6,5,81,1,14.1,14.1,1
T.J. Hockenson,DET,1,5,5,56,1,11.6,11.6,1
Travis Kelce,KC,1,6,6,50,1,11.0,11.0,1
David Njoku,CLE,1,3,3,50,1,11.0,11.0,1
Jordan Akins,HOU,1,2,2,39,1,9.9,9.9,1
Logan Thomas,WAS,1,8,4,37,1,9.7,9.7,1
O.J. Howard,TB,1,6,4,36,1,9.6,9.6,1
Jonnu Smith,TEN,1,7,4,36,1,9.6,9.6,1
Jimmy Graham,CHI,1,7,3,25,1,8.5,8.5,1
Greg Olsen,SEA,1,4,4,24,1,8.4,8.4,1
Jared Cook,NO,1,7,5,80,0,8.0,8.0,1
Zach Ertz,PHI,1,7,3,18,1,7.8,7.8,1
Hunter Henry,LAC,1,8,5,73,0,7.3,7.3,1
MyCole Pruitt,TEN,1,1,1,1,1,6.1,6.1,1
George Kittle,SF,1,5,4,44,0,5.3,5.3,1
Jack Doyle,IND,1,4,3,49,0,4.9,4.9,1
C.J. Uzomah,CIN,1,5,4,45,0,4.5,4.5,1
Darren Waller,LV,1,8,6,45,0,4.5,4.5,1
Tyler Higbee,LAR,1,4,3,40,0,4.0,4.0,1
Hayden Hurst,ATL,1,5,3,38,0,3.8,3.8,1
Mike Gesicki,MIA,1,5,3,30,0,3.0,3.0,1
Kyle Rudolph,MIN,1,2,2,28,0,2.8,2.8,1
Dawson Knox,BUF,1,3,2,26,0,2.6,2.6,1
Ryan Izzo,NE,1,2,1,25,0,2.5,2.5,1
Dan Arnold,ARI,1,2,2,21,0,2.1,2.1,1
Mo Alie-Cox,IND,1,2,2,20,0,2.0,2.0,1
Darren Fells,HOU,1,2,2,19,0,1.9,1.9,1
Eric Ebron,PIT,1,2,1,18,0,1.8,1.8,1
Chris Herndon,NYJ,1,7,6,37,0,1.7,1.7,1
Kaden Smith,NYG,1,2,2,17,0,1.7,1.7,1
Ian Thomas,CAR,1,2,2,16,0,1.6,1.6,1
Austin Hooper,CLE,1,2,2,15,0,1.5,1.5,1
Levine Toilolo,NYG,1,1,1,13,0,1.3,1.3,1
Josiah Deguara,GB,1,2,1,12,0,1.2,1.2,1
Blake Jarwin,DAL,1,1,1,12,0,1.2,1.2,1
Jordan Reed,SF,1,2,2,12,0,1.2,1.2,1
Rob Gronkowski,TB,1,3,2,11,0,1.1,1.1,1
Dalton Schultz,DAL,1,4,1,11,0,1.1,1.1,1
Irv Smith,MIN,1,1,1,11,0,1.1,1.1,1
Virgil Green,LAC,1,2,1,10,0,1.0,1.0,1
Evan Engram,NYG,1,7,2,9,0,0.9,0.9,1
Jacob Hollister,SEA,1,1,1,9,0,0.9,0.9,1
Will Dissly,SEA,1,2,2,8,0,0.8,0.8,1
Tyler Eifert,JAC,1,1,1,8,0,0.8,0.8,1
Gerald Everett,LAR,1,2,1,7,0,0.7,0.7,1
Drew Sample,CIN,1,1,1,7,0,0.7,0.7,1
Harrison Bryant,CLE,1,2,1,5,0,0.5,0.5,1
Anthony Firkser,TEN,1,2,2,5,0,0.5,0.5,1
Chris Manhertz,CAR,1,1,1,4,0,0.4,0.4,1
Nick Boyle,BAL,1,3,2,3,0,0.3,0.3,1
Vance McDonald,PIT,1,2,1,3,0,0.3,0.3,1
Jason Witten,LV,1,1,1,2,0,0.2,0.2,1
Cameron Brate,TB,1,1,0,0,0,0.0,0.0,1
Jake Butt,DEN,1,2,1,0,0,0.0,0.0,1
Stephen Carlson,CLE,1,1,0,0,0,0.0,0.0,1
Demetrius Harris,CHI,1,1,0,0,0,0.0,0.0,1
Josh Hill,NO,1,1,0,0,0,0.0,0.0,1
Cole Kmet,CHI,1,1,0,0,0,0.0,0.0,1
James O'Shaughnessy,JAC,1,1,1,0,0,0.0,0.0,1
Jace Sternberger,GB,1,1,0,0,0,0.0,0.0,1
Luke Stocker,ATL,1,1,0,0,0,0.0,0.0,1
Maxx Williams,ARI,1,2,0,0,0,0.0,0.0,1
Nick Vannett,DEN,1,2,1,-6,0,-0.6,-0.6,1
Tyler Higbee,LAR,1,5,5,54,3,23.4,23.4,2
Jonnu Smith,TEN,1,5,4,84,2,20.4,20.4,2
Mike Gesicki,MIA,1,11,8,130,1,19.0,19.0,2
Jordan Reed,SF,1,8,7,50,2,17.0,17.0,2
Darren Waller,LV,1,16,12,105,1,16.5,16.5,2
Travis Kelce,KC,1,14,9,90,1,15.0,15.0,2
Hayden Hurst,ATL,1,8,5,72,1,13.2,13.2,2
Dalton Schultz,DAL,1,10,9,88,1,12.8,12.8,2
Noah Fant,DEN,1,5,4,57,1,11.7,11.7,2
Mo Alie-Cox,IND,1,6,5,111,0,11.1,11.1,2
C.J. Uzomah,CIN,1,6,4,42,1,10.2,10.2,2
Tyler Eifert,JAC,1,6,3,36,1,9.6,9.6,2
Robert Tonyan,GB,1,3,2,25,1,8.5,8.5,2
Darren Fells,HOU,1,4,2,23,1,8.3,8.3,2
Hunter Henry,LAC,1,8,6,83,0,8.3,8.3,2
Jared Cook,NO,1,5,2,13,1,7.3,7.3,2
Evan Engram,NYG,1,8,6,65,0,6.5,6.5,2
T.J. Hockenson,DET,1,4,4,62,0,6.2,6.2,2
Reggie Gilliam,BUF,1,1,1,1,1,6.1,6.1,2
Jordan Akins,HOU,1,7,7,55,0,5.5,5.5,2
Anthony Firkser,TEN,1,4,4,45,0,4.5,4.5,2
Drew Sample,CIN,1,9,7,45,0,4.5,4.5,2
Eric Ebron,PIT,1,5,3,43,0,4.3,4.3,2
Zach Ertz,PHI,1,7,5,42,0,4.2,4.2,2
James O'Shaughnessy,JAC,1,4,4,40,0,4.0,4.0,2
Blake Bell,DAL,1,3,2,34,0,3.4,3.4,2
Foster Moreau,LV,1,1,1,31,0,3.1,3.1,2
Dallas Goedert,PHI,1,8,4,30,0,3.0,3.0,2
Mark Andrews,BAL,1,3,1,29,0,2.9,2.9,2
Dan Arnold,ARI,1,4,2,26,0,2.6,2.6,2
Logan Thomas,WAS,1,9,4,26,0,2.6,2.6,2
Austin Hooper,CLE,1,4,2,22,0,2.2,2.2,2
Ryan Izzo,NE,1,2,2,19,0,1.9,1.9,2
Jimmy Graham,CHI,1,1,1,18,0,1.8,1.8,2
Adam Trautman,NO,1,1,1,17,0,1.7,1.7,2
Josh Hill,NO,1,2,1,16,0,1.6,1.6,2
Dawson Knox,BUF,1,3,1,36,0,1.6,1.6,2
Harrison Bryant,CLE,1,2,1,14,0,1.4,1.4,2
Cole Kmet,CHI,1,1,1,12,0,1.2,1.2,2
Nick Boyle,BAL,1,1,1,11,0,1.1,1.1,2
O.J. Howard,TB,1,3,1,11,0,1.1,1.1,2
Will Dissly,SEA,1,1,1,9,0,0.9,0.9,2
Chris Manhertz,CAR,1,1,1,8,0,0.8,0.8,2
Ross Dwelley,SF,1,1,1,5,0,0.5,0.5,2
Chris Herndon,NYJ,1,4,1,5,0,0.5,0.5,2
Marcedes Lewis,GB,1,1,1,4,0,0.4,0.4,2
Adam Shaheen,MIA,1,2,1,4,0,0.4,0.4,2
Vance McDonald,PIT,1,2,1,3,0,0.3,0.3,2
Irv Smith,MIN,1,4,1,3,0,0.3,0.3,2
Jason Witten,LV,1,1,1,3,0,0.3,0.3,2
Marcus Baugh,WAS,1,1,1,2,0,0.2,0.2,2
Darrell Daniels,ARI,1,1,0,0,0,0.0,0.0,2
Rob Gronkowski,TB,1,1,0,0,0,0.0,0.0,2
Demetrius Harris,CHI,1,1,0,0,0,0.0,0.0,2
Greg Olsen,SEA,1,1,0,0,0,0.0,0.0,2
Kyle Rudolph,MIN,1,1,0,0,0,0.0,0.0,2
Jace Sternberger,GB,1,1,0,0,0,0.0,0.0,2
Nick Vannett,DEN,1,2,0,0,0,0.0,0.0,2
Kaden Smith,NYG,1,3,2,-1,0,-0.1,-0.1,2
Jimmy Graham,CHI,1,10,6,60,2,18.0,18.0,3
Tyler Kroft,BUF,1,5,4,24,2,14.4,14.4,3
Eric Ebron,PIT,1,7,5,52,1,11.2,11.2,3
Mo Alie-Cox,IND,1,3,3,50,1,11.0,11.0,3
Robert Tonyan,GB,1,5,5,50,1,11.0,11.0,3
Jesse James,DET,1,4,3,28,1,8.8,8.8,3
Travis Kelce,KC,1,7,6,87,0,8.7,8.7,3
Foster Moreau,LV,1,2,2,25,1,8.5,8.5,3
Marcedes Lewis,GB,1,2,1,18,1,7.8,7.8,3
Mike Gesicki,MIA,1,3,1,15,1,7.5,7.5,3
Kyle Rudolph,MIN,1,3,2,11,1,7.1,7.1,3
Zach Ertz,PHI,1,10,7,70,0,7.0,7.0,3
Nick Boyle,BAL,1,1,1,5,1,6.5,6.5,3
Harrison Bryant,CLE,1,2,1,3,1,6.3,6.3,3
Jacob Hollister,SEA,1,2,1,1,1,6.1,6.1,3
Hayden Hurst,ATL,1,3,1,1,1,6.1,6.1,3
Greg Olsen,SEA,1,6,5,61,0,6.1,6.1,3
Jonnu Smith,TEN,1,8,5,61,0,6.1,6.1,3
Lee Smith,BUF,1,1,1,1,1,6.1,6.1,3
T.J. Hockenson,DET,1,7,4,53,0,5.3,5.3,3
Hunter Henry,LAC,1,7,5,50,0,5.0,5.0,3
Ross Dwelley,SF,1,4,4,49,0,4.9,4.9,3
O.J. Howard,TB,1,4,3,49,0,4.9,4.9,3
Rob Gronkowski,TB,1,7,6,48,0,4.8,4.8,3
Dalton Schultz,DAL,1,6,4,48,0,4.8,4.8,3
Noah Fant,DEN,1,10,5,46,0,4.6,4.6,3
Tyler Higbee,LAR,1,2,2,40,0,4.0,4.0,3
Jace Sternberger,GB,1,3,3,36,0,3.6,3.6,3
Vance McDonald,PIT,1,3,3,35,0,3.5,3.5,3
Gerald Everett,LAR,1,2,2,34,0,3.4,3.4,3
Logan Thomas,WAS,1,7,4,31,0,3.1,3.1,3
James O'Shaughnessy,JAC,1,4,3,29,0,2.9,2.9,3
Jordan Akins,HOU,1,3,2,28,0,2.8,2.8,3
Austin Hooper,CLE,1,4,3,25,0,2.5,2.5,3
Darrell Daniels,ARI,1,2,2,24,0,2.4,2.4,3
Jordan Reed,SF,1,6,2,23,0,2.3,2.3,3
Mark Andrews,BAL,1,8,3,22,0,2.2,2.2,3
Evan Engram,NYG,1,5,3,22,0,2.2,2.2,3
Jared Cook,NO,1,3,2,21,0,2.1,2.1,3
Chris Herndon,NYJ,1,5,3,21,0,2.1,2.1,3
Adam Trautman,NO,1,2,2,17,0,1.7,1.7,3
MyCole Pruitt,TEN,1,2,2,16,0,1.6,1.6,3
Demetrius Harris,CHI,1,3,3,15,0,1.5,1.5,3
Richard Rodgers,PHI,1,2,2,15,0,1.5,1.5,3
Kaden Smith,NYG,1,2,1,13,0,1.3,1.3,3
Dan Arnold,ARI,1,2,1,11,0,1.1,1.1,3
Tyler Eifert,JAC,1,3,2,11,0,1.1,1.1,3
Ian Thomas,CAR,1,2,1,9,0,0.9,0.9,3
Darren Waller,LV,1,4,2,9,0,0.9,0.9,3
Dallas Goedert,PHI,1,1,1,7,0,0.7,0.7,3
Durham Smythe,MIA,1,1,1,7,0,0.7,0.7,3
Luke Stocker,ATL,1,1,1,6,0,0.6,0.6,3
Jake Butt,DEN,1,1,1,5,0,0.5,0.5,3
Will Dissly,SEA,1,2,2,5,0,0.5,0.5,3
Cethan Carter,CIN,1,1,1,1,0,0.1,0.1,3
Drew Sample,CIN,1,1,1,1,0,0.1,0.1,3
Blake Bell,DAL,1,1,0,0,0,0.0,0.0,3
Darren Fells,HOU,1,2,0,0,0,0.0,0.0,3
Virgil Green,LAC,1,1,0,0,0,0.0,0.0,3
Ryan Griffin,NYJ,1,2,0,0,0,0.0,0.0,3
Ryan Izzo,NE,1,1,0,0,0,0.0,0.0,3
Nick Keizer,KC,1,1,0,0,0,0.0,0.0,3
Noah Togiai,IND,1,1,0,0,0,0.0,0.0,3
Robert Tonyan,GB,1,6,6,98,3,27.8,27.8,4
George Kittle,SF,1,15,15,183,1,25.1,25.1,4
Mark Andrews,BAL,1,3,3,57,2,17.7,17.7,4
Dalton Schultz,DAL,1,8,4,72,1,13.2,13.2,4
O.J. Howard,TB,1,6,3,50,1,11.0,11.0,4
Austin Hooper,CLE,1,7,5,34,1,9.4,9.4,4
Donald Parham,LAC,1,1,1,19,1,7.9,7.9,4
Jason Witten,LV,1,2,2,18,1,7.8,7.8,4
Mo Alie-Cox,IND,1,2,1,13,1,7.3,7.3,4
Travis Kelce,KC,1,6,3,70,0,7.0,7.0,4
T.J. Hockenson,DET,1,4,2,9,1,6.9,6.9,4
Darren Waller,LV,1,12,9,88,0,6.8,6.8,4
Ian Thomas,CAR,1,5,2,5,1,6.5,6.5,4
Cameron Brate,TB,1,1,1,3,1,6.3,6.3,4
Jordan Thomas,ARI,1,1,1,3,1,6.3,6.3,4
Gerald Everett,LAR,1,1,1,10,0,5.2,5.2,4
Hayden Hurst,ATL,1,6,4,51,0,5.1,5.1,4
Drew Sample,CIN,1,5,3,47,0,4.7,4.7,4
Jordan Akins,HOU,1,3,3,46,0,4.6,4.6,4
Dan Arnold,ARI,1,4,4,39,0,3.9,3.9,4
Hunter Henry,LAC,1,3,2,39,0,3.9,3.9,4
Harrison Bryant,CLE,1,4,4,37,0,3.7,3.7,4
Evan Engram,NYG,1,10,6,35,0,3.5,3.5,4
Noah Fant,DEN,1,6,5,35,0,3.5,3.5,4
Greg Olsen,SEA,1,7,5,35,0,3.5,3.5,4
Richard Rodgers,PHI,1,4,3,35,0,3.5,3.5,4
Jimmy Graham,CHI,1,5,4,33,0,3.3,3.3,4
Jesse James,DET,1,2,1,31,0,3.1,3.1,4
Durham Smythe,MIA,1,3,2,30,0,3.0,3.0,4
Rob Gronkowski,TB,1,3,1,29,0,2.9,2.9,4
Kyle Rudolph,MIN,1,2,2,27,0,2.7,2.7,4
James O'Shaughnessy,JAC,1,2,1,26,0,2.6,2.6,4
Blake Bell,DAL,1,2,2,24,0,2.4,2.4,4
Cethan Carter,CIN,1,1,1,24,0,2.4,2.4,4
Tyler Eifert,JAC,1,6,2,22,0,2.2,2.2,4
Darren Fells,HOU,1,2,2,21,0,2.1,2.1,4
Tyler Higbee,LAR,1,4,3,20,0,2.0,2.0,4
Chris Manhertz,CAR,1,1,1,17,0,1.7,1.7,4
Trey Burton,IND,1,5,2,16,0,1.6,1.6,4
Dawson Knox,BUF,1,3,2,16,0,1.6,1.6,4
Will Dissly,SEA,1,2,2,15,0,1.5,1.5,4
Mike Gesicki,MIA,1,3,1,15,0,1.5,1.5,4
Jack Doyle,IND,1,1,1,12,0,1.2,1.2,4
Tyler Kroft,BUF,1,3,1,12,0,1.2,1.2,4
Chris Herndon,NYJ,1,3,1,11,0,1.1,1.1,4
Ryan Griffin,NYJ,1,3,3,10,0,1.0,1.0,4
Kaden Smith,NYG,1,1,1,10,0,1.0,1.0,4
Nick Boyle,BAL,1,1,1,9,0,0.9,0.9,4
Zach Ertz,PHI,1,5,4,9,0,0.9,0.9,4
Foster Moreau,LV,1,1,1,8,0,0.8,0.8,4
Logan Thomas,WAS,1,4,1,8,0,0.8,0.8,4
Josh Hill,NO,1,1,1,7,0,0.7,0.7,4
Nick Vannett,DEN,1,2,1,7,0,0.7,0.7,4
Demetrius Harris,CHI,1,2,1,6,0,0.6,0.6,4
Johnny Mundt,LAR,1,1,1,5,0,0.5,0.5,4
Deon Yelder,KC,1,1,1,5,0,0.5,0.5,4
Jake Butt,DEN,1,1,0,0,0,0.0,0.0,4
Ryan Izzo,NE,1,3,0,0,0,0.0,0.0,4
