Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD,FPts,FPts/G,Week
Davante Adams,GB,1,17,14,156,2,0,0,0,27.6,27.6,1
Calvin Ridley,ATL,1,12,9,130,2,1,-1,0,24.9,24.9,1
Adam Thielen,MIN,1,8,6,110,2,0,0,0,23.0,23.0,1
Darius Slayton,NYG,1,9,6,102,2,0,0,0,22.2,22.2,1
JuJu Smith-Schuster,PIT,1,6,6,69,2,0,0,0,18.9,18.9,1
Robby Anderson,CAR,1,8,6,115,1,0,0,0,17.5,17.5,1
Jamison Crowder,NYJ,1,13,7,115,1,0,0,0,17.5,17.5,1
Julio Jones,ATL,1,12,9,157,0,0,0,0,15.7,15.7,1
Marquez Valdes-Scantling,GB,1,6,4,96,1,0,0,0,15.6,15.6,1
DK Metcalf,SEA,1,8,4,95,1,0,0,0,15.5,15.5,1
DeAndre Hopkins,ARI,1,16,14,151,0,0,0,0,15.1,15.1,1
Sammy Watkins,KC,1,9,7,82,1,1,3,0,14.5,14.5,1
Allen Lazard,GB,1,4,4,63,1,1,19,0,14.2,14.2,1
Anthony Miller,CHI,1,6,4,76,1,0,0,0,13.6,13.6,1
John Brown,BUF,1,10,6,70,1,0,0,0,13.0,13.0,1
Willie Snead,BAL,1,4,4,64,1,0,0,0,12.4,12.4,1
Robert Woods,LAR,1,8,6,105,0,1,14,0,11.9,11.9,1
Russell Gage,ATL,1,12,9,114,0,0,0,0,11.4,11.4,1
Will Fuller,HOU,1,10,8,112,0,0,0,0,11.2,11.2,1
Keelan Cole,JAC,1,5,5,47,1,0,0,0,10.7,10.7,1
Laviska Shenault,JAC,1,4,3,37,1,2,10,0,10.7,10.7,1
Tyreek Hill,KC,1,6,5,46,1,0,0,0,10.6,10.6,1
Marquise Brown,BAL,1,6,5,101,0,0,0,0,10.1,10.1,1
Corey Davis,TEN,1,8,7,101,0,0,0,0,10.1,10.1,1
James Washington,PIT,1,3,2,34,1,0,0,0,9.4,9.4,1
Tyler Lockett,SEA,1,8,8,92,0,0,0,0,9.2,9.2,1
Stefon Diggs,BUF,1,9,8,86,0,0,0,0,8.6,8.6,1
